id;secteur;presence_au_maroc;focus;logo;profil_linked_in
1;calculer;true;clientèle trop;jusqu’à ce que peut-être;aussitôt
2;du moment que;true;en decà de;là où;porte-parole
3;spécialiste au-dessous de tandis que;true;insipide au-delà;ouch pour;déjà puisque
4;secouriste entre;true;areu areu outre étant donné que;grandement de manière à;tellement
5;ding;false;révéler tellement hebdomadaire;terne en plus de;comme
6;atchoum;false;à la merci;trop contre du fait que;impromptu
7;vu que outre;true;puisque;pratiquer;électorat provoquer euh
8;dévoiler à l'exception de;true;évacuer en dehors de filer;étant donné que oui naguère;au point que
9;novice;true;contenter;intrépide;rédaction cuicui
10;produire recta;false;crac entrer;actionnaire beaucoup;lorsque splendide
